Nodes	Duration
4	0.0479701
1	0.696444
1	0.655238
1	0.612792
1	0.582358
1	0.712646
1	0.111585
1	0.0582142
1	0.042268
1	0.125792
1	0.0924802
1	0.113633
1	0.150768
1	0.317819
